Кадастровый номер,"Площадь, м²",Категория земли,Статус,Адрес,Собственность,ВРИ,Тип ВРИ,Записей о правах,Обременения,Кадастровый квартал,"Кадастровая стоимость, руб.","Удельный показатель, руб./м²","Рыночная стоимость, руб.","Медианная цена, руб./м²",Сделок в выборке,Период сделок,Свободен,ИЖС,СНТ,ДНП,ЛПХ,Под застройку,Общего пользования,Земли НП,Широта,Долгота
16:24:090704:1666,601.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Ивана Матвеева, з/у 13.",Частная,"Земельные участки, предназначенные для размещения домов индивидуальной жилой застройки",ЖИЛОЙ,0,нет,16:24:090704,953589.51,1586.6714,,,,,нет,нет,нет,нет,нет,да,нет,да,55.60424000606442,49.14612407753632
16:24:210101:3788,500.0,Земли населенных пунктов,Учтенный,"Республика Татарстан, Лаишевский муниципальный район, Габишевское сельское поселение, с Габишево, ул. Приозерная",Частная,Для индивидуального жилищного строительства,ИЖС,0,нет,16:24:210101,918119.05,1836.2381,,,,,нет,да,нет,нет,нет,да,нет,да,55.60894668792779,49.13776693695969
16:24:210101:2655,938.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Приозерная, з/у 1А.",Частная,индивидуальное жилищное строительство,ДРУГОЕ,0,нет,16:24:210101,1550094.71,1652.553,,,,,нет,нет,нет,нет,нет,нет,нет,да,55.60684945262479,49.14710672277879
16:24:210101:239,957.0,Земли населенных пунктов,Ранее учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Ленинская, з/у 15.",,Для индивидуального жилищного строительства,ИЖС,0,нет,16:24:210101,1579838.95,1650.8244,,,,,да,да,нет,нет,нет,да,нет,да,55.61033788067631,49.14379382826972
16:24:210101:3466,642.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, пр-кт Молодежный, з/у 4А.",Частная,для индивидуального жилищного строительства,ИЖС,0,нет,16:24:210101,1085069.17,1690.1389,,,,,нет,да,нет,нет,нет,да,нет,да,55.61248387890029,49.143801410745674
16:24:090704:3281,500.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, пер Узорный, з/у 8А.",Частная,"земельные участки, предназначенные для размещения домов индивидуальной жилой застройки",ЖИЛОЙ,0,нет,16:24:090704,908244.75,1816.4895,,,,,нет,нет,нет,нет,нет,да,нет,да,55.60985937723456,49.133619688172836
16:24:210101:899,962.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Береговая, з/у 15.",Частная,Для малоэтажного жилищного строительства,ДРУГОЕ,0,нет,16:24:210101,1491228.23,1550.1333,,,,,нет,нет,нет,нет,нет,нет,нет,да,55.61082978740751,49.15077648036404
16:24:090704:1353,1100.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Ивана Матвеева, з/у 25.",Частная,"земельные участки, предназначенные для размещения домов индивидуальной жилой застройки",ЖИЛОЙ,0,нет,16:24:090704,1782424.71,1620.3861,,,,,нет,нет,нет,нет,нет,да,нет,да,55.604406277479164,49.143511416861365
16:24:210101:125,1084.0,Земли населенных пунктов,Ранее учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул 8 Марта, з/у 4.",Частная,для индивидуального жилищного строительства,ИЖС,0,нет,16:24:210101,2295031.03,2117.1873,,,,,нет,да,нет,нет,нет,да,нет,да,55.613915365206466,49.13234245387311
16:24:210101:1952,1500.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Лесная, з/у 8.",,Для индивидуального жилищного строительства,ИЖС,0,нет,16:24:210101,2463252.15,1642.1681,,,,,да,да,нет,нет,нет,да,нет,да,55.60752774943379,49.149818022281195
16:24:210101:724,1483.0,Земли населенных пунктов,Ранее учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Лесная, з/у 3.",Частная,Индивидуальное жилищное строительство,ДРУГОЕ,0,нет,16:24:210101,2430078.5,1638.6234,,,,,нет,нет,нет,нет,нет,нет,нет,да,55.607034797314235,49.148905232737285
16:24:210101:892,848.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Береговая, з/у 1.",Частная,Для малоэтажного жилищного строительства,ДРУГОЕ,0,нет,16:24:210101,1298161.22,1530.8505,,,,,нет,нет,нет,нет,нет,нет,нет,да,55.612189242630095,49.150823871853866
16:24:210101:902,881.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Береговая, з/у 21.",Частная,Для малоэтажного жилищного строительства,ДРУГОЕ,0,нет,16:24:210101,1337712.43,1518.4023,,,,,нет,нет,нет,нет,нет,нет,нет,да,55.610268245703836,49.150666410572555
16:24:210101:2552,40.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, тер. ГПК Семерка, з/у 2552Г.",Частная,под размещение индивидуальных гаражей,ДРУГОЕ,0,нет,16:24:210101,56398.03,1409.9508,,,,,нет,нет,нет,нет,нет,нет,нет,да,55.6085780990385,49.136354035546155
16:24:210101:19,1376.0,Земли населенных пунктов,Ранее учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Вахитовская, з/у 33.",,Для индивидуального жилищного строительства,ИЖС,0,нет,16:24:210101,2810538.89,2042.54,,,,,да,да,нет,нет,нет,да,нет,да,55.61428826337626,49.13599754764702
16:24:090704:1763,550.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Алексея Малышева, з/у 39А.",Частная,"земельные участки, предназначенные для размещения домов индивидуальной жилой застройки",ЖИЛОЙ,0,нет,16:24:090704,832470.04,1513.5819,,,,,нет,нет,нет,нет,нет,да,нет,да,55.60380097462212,49.140616694922045
16:24:090704:1321,896.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Озерная, з/у 3.",Частная,"земельные участки, предназначенные для размещения домов индивидуальной жилой застройки",ЖИЛОЙ,0,нет,16:24:090704,1291245.4,1441.1221,,,,,нет,нет,нет,нет,нет,да,нет,да,55.602448220199925,49.1476156588655
16:24:090704:2008,600.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Ивана Матвеева, з/у 29А.",Частная,"земельные участки, предназначенные для размещения домов индивидуальной жилой застройки",ЖИЛОЙ,0,нет,16:24:090704,972231.72,1620.3862,,,,,нет,нет,нет,нет,нет,да,нет,да,55.604553190826245,49.1427544917252
16:24:090704:1607,790.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Ивана Матвеева, з/у 59.",Частная,"земельные участки, предназначенные для размещения домов индивидуальной жилой застройки",ЖИЛОЙ,0,нет,16:24:090704,1237399.59,1566.3286,,,,,нет,нет,нет,нет,нет,да,нет,да,55.605821062388465,49.136762476707126
16:24:090704:1494,602.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Приволжская, з/у 59А.",Частная,"земельные участки, предназначенные для размещения домов индивидуальной жилой застройки",ЖИЛОЙ,0,нет,16:24:090704,1121592.16,1863.1099,,,,,нет,нет,нет,нет,нет,да,нет,да,55.610418196837315,49.127060002976485
16:24:210101:909,1083.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Ленинская, з/у 2Б.",Частная,Для малоэтажного жилищного строительства,ДРУГОЕ,0,нет,16:24:210101,1738195.94,1604.9824,,,,,нет,нет,нет,нет,нет,нет,нет,да,55.61071438333339,49.14929832850029
16:24:210101:328,1584.0,Земли населенных пунктов,Ранее учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Казанская, з/у 34.",Частная,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:24:210101,2735266.72,1726.8098,,,,,нет,нет,нет,нет,да,да,нет,да,55.60694010100571,49.14063217005479
16:24:210101:819,959.0,Земли населенных пунктов,Учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул им Мусы Джалиля, з/у 6Б",Частная,Для индивидуального жилищного строительства,ИЖС,0,нет,16:24:210101,1891702.78,1972.58,,,,,нет,да,нет,нет,нет,да,нет,да,55.61174018556783,49.13615463947961
16:24:210101:111,1336.0,Земли населенных пунктов,Ранее учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул им Мусы Джалиля, з/у 2.",,Индивидуальное жилищное строительство,ДРУГОЕ,0,нет,16:24:210101,2692511.21,2015.3527,,,,,да,нет,нет,нет,нет,нет,нет,да,55.61384536014974,49.13634533516866
16:24:210101:3444,224.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Кировская, з/у 13Б.",Частная,Индивидуальные жилые дома с приусадебными земельными участками; блокированные односемейные дома с участками,ЖИЛОЙ,0,нет,16:24:210101,392879.87,1753.928,,,,,нет,нет,нет,нет,нет,да,нет,да,55.60891258319979,49.14326039152248
16:24:210101:3425,277.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Олимпийская, з/у 7/3.",Частная,Блокированные односемейные дома с участками,ДРУГОЕ,0,нет,16:24:210101,434373.92,1568.1369,,,,,нет,нет,нет,нет,нет,нет,нет,да,55.60530887665363,49.148794226313434
16:24:210101:2439,213.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Олимпийская, з/у 6/1.",,Под малоэтажное жилищное строительство,ДРУГОЕ,0,нет,16:24:210101,334013.16,1568.1369,,,,,да,нет,нет,нет,нет,нет,нет,да,55.6056068915393,49.148273520226745
16:24:210101:2003,749.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Марджани, з/у 7А.",,для индивидуального жилищного строительства,ИЖС,0,нет,16:24:210101,1262817.67,1686.0049,,,,,да,да,нет,нет,нет,да,нет,да,55.608039891050765,49.1481617367488
16:24:210101:772,1000.0,Земли населенных пунктов,Ранее учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Ориентир Культурно-спортивный центр. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Лесная, з/у 5.",Частная,Индивидуальное жилищное строительство,ДРУГОЕ,0,нет,16:24:210101,1611212.7,1611.2127,,,,,нет,нет,нет,нет,нет,нет,нет,да,55.60708151406376,49.14946598064496
16:24:000000:5747,1621.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Республика Татарстан, Лаишевский муниципальный район, Габишевское сельское поселение, с Габишево.",Частная,индивидуальное жилищное строительство,ДРУГОЕ,0,нет,16:24:000000,2627908.3,1621.1649,,,,,нет,нет,нет,нет,нет,нет,нет,да,55.60545904824715,49.1459280280475
16:24:090704:2537,626.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Спортивная, з/у 4.",Частная,"земельные участки, предназначенные для размещения домов индивидуальной жилой застройки",ЖИЛОЙ,0,нет,16:24:090704,1094464.85,1748.3464,,,,,нет,нет,нет,нет,нет,да,нет,да,55.6083383379742,49.1283538415429
16:24:090704:1114,1120.0,Земли населенных пунктов,Учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Александра Сергеева, з/у 94",Муниципальная,Образование и просвещение,ДРУГОЕ,0,нет,16:24:090704,1022837.87,913.2481,,,,,да,нет,нет,нет,нет,нет,нет,да,55.6095745965776,49.13209143618889
16:24:090704:2549,696.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Рябиновая, з/у 7А.",Частная,"земельные участки, предназначенные для размещения домов индивидуальной жилой застройки",ЖИЛОЙ,0,нет,16:24:090704,1082866.87,1555.8432,,,,,нет,нет,нет,нет,нет,да,нет,да,55.606286397594204,49.130238608230066
16:24:210101:2548,29975.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Республика Татарстан, Лаишевский муниципальный район, Габишевское сельское поселение, с Габишево.",Частная,многоквартирные жилые дома,ЖИЛОЙ,0,нет,16:24:210101,20199523.03,673.879,,,,,нет,нет,нет,нет,нет,да,нет,да,55.615610313774326,49.13833331240732
16:24:210101:3778,518.0,Земли населенных пунктов,Учтенный,"Республика Татарстан, Лаишевский муниципальный район, Габишевское сельское поселение, с Габишево",Муниципальная,Земельные участки (территории) общего пользования,ОГП,0,нет,16:24:210101,214268.68,413.6461,,,,,да,нет,нет,нет,нет,нет,да,да,55.61665359309704,49.13834795405114
16:24:090704:2906,832.0,Земли населенных пунктов,Учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Южная, з/у 5/1",Частная,"земельные участки, предназначенные для размещения домов индивидуальной жилой застройки",ЖИЛОЙ,0,нет,16:24:090704,1110540.87,1334.7847,,,,,нет,нет,нет,нет,нет,да,нет,да,55.603177572043755,49.135559794014505
16:24:090704:2908,681.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Габишевское, с Габишево, ул Южная, з/у 5.",Частная,"земельные участки, предназначенные для размещения домов индивидуальной жилой застройки",ЖИЛОЙ,0,нет,16:24:090704,905206.52,1329.2313,,,,,нет,нет,нет,нет,нет,да,нет,да,55.603385588100785,49.135800911750536
