Кадастровый номер,"Площадь, м²",Категория земли,Статус,Адрес,Собственность,ВРИ,Тип ВРИ,Записей о правах,Обременения,Кадастровый квартал,"Кадастровая стоимость, руб.","Удельный показатель, руб./м²","Рыночная стоимость, руб.","Медианная цена, руб./м²",Сделок в выборке,Период сделок,Свободен,ИЖС,СНТ,ДНП,ЛПХ,Под застройку,Общего пользования,Земли НП,Широта,Долгота
16:33:080302:882,885.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан, Пестречинский муниципальный район, Кощаковское сельское поселение, д Званка, ул. Советская, з/у 8.",Частная,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:080302,1691657.41,1911.4773,,,,,нет,нет,нет,нет,да,да,нет,да,55.8020358406918,49.37268935630006
16:33:080301:637,939.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Кощаковское, д Званка, ул Приозерная, з/у 33.",Частная,для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:080301,1453288.33,1547.7,,,,,нет,нет,нет,нет,да,да,нет,да,55.80884804959672,49.37080656952535
16:33:080301:152,2526.0,Земли населенных пунктов,Ранее учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Кощаковское, д Званка, ул Приозерная, з/у 15А",,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:080301,4177544.52,1653.82,,,,,да,нет,нет,нет,да,да,нет,да,55.80934932242319,49.37665973727599
16:33:080301:23,1893.0,Земли населенных пунктов,Ранее учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Кощаковское, д Званка, ул Лесная, з/у 5А.",,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:080301,2986586.67,1577.7,,,,,да,нет,нет,нет,да,да,нет,да,55.81220798738437,49.38253849452035
16:33:080301:35,1635.0,Земли населенных пунктов,Ранее учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Кощаковское, д Званка, ул Лесная, з/у 40",,Для индивидуального жилищного строительства,ИЖС,0,нет,16:33:080301,2661568.92,1627.87,,,,,да,да,нет,нет,нет,да,нет,да,55.81219276587568,49.376555108095225
16:33:080301:534,939.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Кощаковское, д Званка, ул Лесная, з/у 48.",Частная,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:080301,1496888.26,1594.13,,,,,нет,нет,нет,нет,да,да,нет,да,55.81245521979745,49.37285218328047
16:33:080301:76,300.0,Земли населенных пунктов,Ранее учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Кощаковское, д Званка, ул Каменная, з/у 13/3.",,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:080301,492595.17,1641.98,,,,,да,нет,нет,нет,да,да,нет,да,55.811313991127655,49.379786671427816
16:33:080301:235,1036.0,Земли населенных пунктов,Ранее учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Кощаковское, д Званка, ул Каменная, з/у 36.",,Ведение личного подсобного хозяйства,ЛПХ,0,нет,16:33:080301,1670490.53,1612.44,,,,,да,нет,нет,нет,да,да,нет,да,55.811734414097174,49.372532356378365
16:33:080301:627,838.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Кощаковское, д Званка, ул Овражная, з/у 21А.",Частная,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:080301,1189560.44,1419.52,,,,,нет,нет,нет,нет,да,да,нет,да,55.81057176260006,49.38867068783029
16:33:080301:718,1265.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Республика Татарстан, Пестречинский муниципальный район, Кощаковское сельское поселение, д Званка, ул. Каменная, д. 4а.",Частная,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:080301,2042294.94,1614.4624,,,,,нет,нет,нет,нет,да,да,нет,да,55.81094336658189,49.38281072799437
16:33:080301:99,1426.0,Земли населенных пунктов,Ранее учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Республика Татарстан, р-н Пестречинский муниципальный, с/п Званковское, д Званка.",,Для индивидуального жилищного строительства,ИЖС,0,нет,16:33:080301,2254801.75,1581.21,,,,,да,да,нет,нет,нет,да,нет,да,55.81052653789088,49.38494813017651
16:33:080702:301,826.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Кощаковское, д Званка, ул Сосновая, з/у 5.",Частная,для жилищного строительства,ДРУГОЕ,0,нет,16:33:080702,1327749.16,1607.4445,,,,,нет,нет,нет,нет,нет,нет,нет,да,55.80809912055461,49.39089544786372
16:33:080301:268,1298.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Кощаковское, д Званка, ул Овражная, з/у 19Б.",,Под жилую застройку индивидуальную,ДРУГОЕ,0,нет,16:33:080301,2080947.11,1603.2,,,,,да,нет,нет,нет,нет,нет,нет,да,55.80880819881536,49.385376480699854
16:33:080301:313,179.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Республика Татарстан, Пестречинский муниципальный район, Званковское сельское поселение, д Званка, ул. Каменная.",,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:080301,290009.96,1620.17,,,,,да,нет,нет,нет,да,да,нет,да,55.81227663003379,49.375505869174575
16:33:080301:666,522.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Кощаковское, д Званка, ул Лесная, з/у 16.",Частная,для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:080301,840484.73,1610.12,,,,,нет,нет,нет,нет,да,да,нет,да,55.81174497679128,49.38193988980256
16:33:080301:68,49.0,Земли населенных пунктов,Ранее учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Кощаковское, д Званка, ул Каменная, з/у 17/1.",,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:080301,81287.63,1658.93,,,,,да,нет,нет,нет,да,да,нет,да,55.81155852792818,49.3779752619976
16:33:080702:800,563.0,Земли населенных пунктов,Учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Кощаковское, д Званка, ул Сафари, з/у 8",Частная,для жилищного строительства,ДРУГОЕ,0,нет,16:33:080702,978656.2,1738.2881,,,,,нет,нет,нет,нет,нет,нет,нет,да,55.806042711562384,49.39310100531544
16:33:000000:2989,1682.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Кощаковское, д Званка, ул Овражная, з/у 17.",Частная,для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:000000,2733666.63,1625.25,,,,,нет,нет,нет,нет,да,да,нет,да,55.80853789686419,49.384889949539755
16:33:080301:294,2180.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Кощаковское, д Званка, ул Лесная, з/у 41.",,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:080301,3433410.84,1574.96,,,,,да,нет,нет,нет,да,да,нет,да,55.812995021272556,49.37468778091511
