Кадастровый номер,"Площадь, м²",Категория земли,Статус,Адрес,Собственность,ВРИ,Тип ВРИ,Записей о правах,Обременения,Кадастровый квартал,"Кадастровая стоимость, руб.","Удельный показатель, руб./м²","Рыночная стоимость, руб.","Медианная цена, руб./м²",Сделок в выборке,Период сделок,Свободен,ИЖС,СНТ,ДНП,ЛПХ,Под застройку,Общего пользования,Земли НП,Широта,Долгота
16:24:050802:480,1702545.0,Земли сельскохозяйственного назначения,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Республика Татарстан, Лаишевский муниципальный район, Никольское сельское поселение.",Частная,для сельскохозяйственного производства,СХ,0,нет,16:24:050802,6388629.86,3.7524,,,,,нет,нет,нет,нет,нет,нет,нет,нет,55.566256071811544,49.19844779720328
16:24:050201:156,,Земли населенных пунктов,Ранее учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Республика Татарстан, Лаишевский муниципальный район, Никольское сельское поселение,  д Пиголи.",,Ведение личного подсобного хозяйства,ЛПХ,0,нет,16:24:050201,93089.1,571.0988,,,,,да,нет,нет,нет,да,да,нет,да,55.56856423424643,49.181006632636596
16:24:050201:585,348.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Республика Татарстан, Лаишевский муниципальный район, Никольское сельское поселение, д Пиголи, ул. Кавказская, 13.",Частная,для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:24:050201,195773.07,562.5663,,,,,нет,нет,нет,нет,да,да,нет,да,55.56779971916224,49.18217497737211
16:24:050201:823,2579.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: 	Республика Татарстан, Лаишевский муниципальный район, Никольское сельское поселение, д Пиголи, ул. Кавказская.",Частная,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:24:050201,1431110.05,554.9089,,,,,нет,нет,нет,нет,да,да,нет,да,55.56453599047863,49.18128987539474
16:24:050201:128,,Земли населенных пунктов,Ранее учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Никольское, д Пиголи, ул Полевая, з/у 8",,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:24:050201,758380.39,568.0752,,,,,да,нет,нет,нет,да,да,нет,да,55.56811513298615,49.1773762359037
16:24:050201:137,,Земли населенных пунктов,Ранее учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Республика Татарстан, р-н. Лаишевский, д. Пиголи, ул. Воскресенская.",,Индивидуальное жилищное строительство,ДРУГОЕ,0,нет,16:24:050201,299466.6,598.9332,,,,,да,нет,нет,нет,нет,нет,нет,да,55.56653108335586,49.17790792895011
16:24:050201:353,1000.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Никольское, д Пиголи, ул Солнечная, з/у 14.",,Для индивидуального жилищного строительства,ИЖС,0,нет,16:24:050201,593874.0,593.874,,,,,да,да,нет,нет,нет,да,нет,да,55.56231858049224,49.17303141755631
16:24:050201:382,1000.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Никольское, д Пиголи, ул Юности, з/у 15.",,Для индивидуального жилищного строительства,ИЖС,0,нет,16:24:050201,594682.7,594.6827,,,,,да,да,нет,нет,нет,да,нет,да,55.56199538147507,49.17254809040175
16:24:050201:844,2284.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Республика Татарстан, Лаишевский муниципальный район, Никольское сельское поселение, д Пиголи, ул. Чехловка.",Частная,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:24:050201,1401647.86,613.6812,,,,,нет,нет,нет,нет,да,да,нет,да,55.56431578405329,49.174836100282626
16:24:050201:519,1500.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Республика Татарстан, Лаишевский муниципальный район, Никольское сельское поселение, д Пиголи.",Частная,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:24:050201,792508.8,528.3392,,,,,нет,нет,нет,нет,да,да,нет,да,55.56202955864257,49.18101164750754
