Кадастровый номер,"Площадь, м²",Категория земли,Статус,Адрес,Собственность,ВРИ,Тип ВРИ,Записей о правах,Обременения,Кадастровый квартал,"Кадастровая стоимость, руб.","Удельный показатель, руб./м²","Рыночная стоимость, руб.","Медианная цена, руб./м²",Сделок в выборке,Период сделок,Свободен,ИЖС,СНТ,ДНП,ЛПХ,Под застройку,Общего пользования,Земли НП,Широта,Долгота
16:24:110302:1448,600.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан, Лаишевский муниципальный район, Кирбинское сельское поселение, д Травкино.",Частная,Для индивидуального жилищного строительства,ИЖС,0,нет,16:24:110302,585864.78,976.4413,,,,,нет,да,нет,нет,нет,да,нет,да,55.55159295141556,49.2717937753079
16:24:110201:30,1188.0,Земли населенных пунктов,Ранее учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Кирбинское, д Травкино, ул Дачная, з/у 8.",Частная,индивидуальное жилищное строительство,ДРУГОЕ,0,нет,16:24:110201,1278480.22,1076.1618,,,,,нет,нет,нет,нет,нет,нет,нет,да,55.548353321496094,49.260294765369096
16:24:110201:40,1368.0,Земли населенных пунктов,Ранее учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Кирбинское, д Травкино, ул Озерная, з/у 14.",,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:24:110201,1411363.14,1031.6982,,,,,да,нет,нет,нет,да,да,нет,да,55.54908253378379,49.26354709625972
16:24:110201:318,800.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Республика Татарстан, Лаишевский муниципальный район, Кирбинское сельское поселение, д Травкино, ул. Озерная, д. 11.",Частная,для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:24:110201,845934.08,1057.4176,,,,,нет,нет,нет,нет,да,да,нет,да,55.55087956027571,49.26332403252901
16:24:110302:1479,600.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан, Лаишевский муниципальный район, Кирбинское сельское поселение, д Травкино.",Частная,Для индивидуального жилищного строительства,ИЖС,0,нет,16:24:110302,580776.24,967.9604,,,,,нет,да,нет,нет,нет,да,нет,да,55.55143997179717,49.27292673869845
16:24:110302:438,800.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Кирбинское, д Травкино, ул Зеленая, з/у 3.",Частная,индивидуальные жилые дома с приусадебными земельными участками,ЖИЛОЙ,0,нет,16:24:110302,802764.56,1003.4557,,,,,нет,нет,нет,нет,нет,да,нет,да,55.54232025340773,49.26064470150783
16:24:110302:1398,520.0,Земли сельскохозяйственного назначения,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Республика Татарстан, Лаишевский муниципальный район, Кирбинское сельское поселение.",Частная,Для сельскохозяйственного производства,СХ,0,нет,16:24:110302,39949.99,76.8269,,,,,нет,нет,нет,нет,нет,нет,нет,нет,55.547022305756265,49.28556108994712
16:24:110302:33,2800.0,Земли населенных пунктов,Ранее учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Ориентир озеро дТравкино. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Кирбинское, кв-л 302, з/у 33.",Муниципальная,Под размещение водонапорных башен и скважин,ДРУГОЕ,0,нет,16:24:110302,1907658.48,681.3066,,,,,да,нет,нет,нет,нет,нет,нет,да,55.5522891361522,49.27103227928725
16:24:110302:721,800.0,Земли населенных пунктов,Учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Лаишевский, с.п. Кирбинское, д Травкино, ул Сююмбике, з/у 16",Частная,Для индивидуального жилищного строительства,ИЖС,0,нет,16:24:110302,766263.28,957.8291,,,,,нет,да,нет,нет,нет,да,нет,да,55.55287625804074,49.27427400882639
16:24:110302:1371,1151.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан, Лаишевский муниципальный район, Кирбинское сельское поселение, д Травкино.",Частная,Для индивидуального жилищного строительства,ИЖС,0,нет,16:24:110302,1113733.27,967.6223,,,,,нет,да,нет,нет,нет,да,нет,да,55.55056884402282,49.27178190721215
